Gene,Chromosome,Start_Position,End_Position,log2FC,p-value
GENE1,1,1000000,1005000,-1.2,0.2
GENE2,2,1210526,1215526,-1.063157894736842,0.1895
GENE3,3,1421052,1426052,-0.9263157894736842,0.17900000000000002
GENE4,4,1631578,1636578,-0.7894736842105263,0.1685
GENE5,5,1842105,1847105,-0.6526315789473685,0.158
GENE6,1,2052631,2057631,-0.5157894736842106,0.14750000000000002
GENE7,2,2263157,2268157,-0.3789473684210527,0.137
GENE8,3,2473684,2478684,-0.24210526315789482,0.1265
GENE9,4,2684210,2689210,-0.10526315789473695,0.116
GENE10,5,2894736,2899736,0.03157894736842093,0.10550000000000001
GENE11,1,3105263,3110263,0.1684210526315788,0.095
GENE12,2,3315789,3320789,0.3052631578947367,0.0845
GENE13,3,3526315,3531315,0.44210526315789456,0.07400000000000001
GENE14,4,3736842,3741842,0.5789473684210524,0.0635
GENE15,5,3947368,3952368,0.7157894736842103,0.053000000000000005
GENE16,1,4157894,4162894,0.8526315789473682,0.0425
GENE17,2,4368421,4373421,0.9894736842105261,0.032
GENE18,3,4578947,4583947,1.126315789473684,0.021500000000000002
GENE19,4,4789473,4794473,1.2631578947368418,0.011000000000000001
GENE20,5,5000000,5005000,1.4,0.0005
