gene,chromosome,start_position,end_position
NEUROG2,4,112513516,112516180
GSX2,4,54099523,54102498
LIMD1,3,45555394,45686341
LRIG1,3,66378794,66501263
SMAD6,15,66702236,66782849
ACVRL1,12,51906908,51923361
TMPRSS2,21,41464296,41531116
ATG101,12,52069246,52077495
BCR,22,23179704,23318037
PAX2,10,100735396,100829944
CEBPA,19,33299934,33302534
TYRO3,15,41557675,41583589
RGMA,15,93035271,93089211
IL2RA,10,6010689,6062370
IPO9,1,201829104,201884291
BMPR2,2,202376327,202567751
PLIN3,19,4838339,4867717
FEZF2,3,62369681,62374473
PROCA1,17,28703197,28711888
CERKL,2,181535041,181680665
OR7A10,19,14840466,14848922
DOCK1,10,126905397,127452518
POU4F2,4,146638893,146642474
EOMES,3,27715949,27722711
NAV3,12,77324641,78213010
IER5,1,181088700,181092900
DCST2,1,155018520,155033781
SOX7,8,10723768,10730511
MBD3L3,19,7056207,7069665
TP73,1,3652516,3736201
TBX20,7,35202430,35254100
MARCKSL1,1,32333827,32336233
HMGN2,1,26472013,26478209
GPR151,5,146513144,146516190
TRIB1,8,125430358,125438403
CKB,14,103519660,103523167
INTS3,1,153728050,153774808
KCNC3,19,50311937,50333515
CECR2,22,17359949,17558151
SLC16A2,X,74421383,74533918
RBPJ,4,26163455,26435131
AMH,19,2249309,2252073
RUNX2,6,45328157,45664349
LMO2,11,33858574,33892076
TMEM74,8,108606850,108787624
KCNJ18,17,21692523,21704612
LARP1B,4,128060801,128222931
ZDHHC3,3,44915257,44976185
NSG2,5,174045706,174243501
PARD3B,2,204545475,205620162
GATA2,3,128479423,128493208
SYNCRIP,6,85607779,85644063
HTR2B,2,231108230,231125080
NECTIN4,1,161070988,161090045
CAMLG,5,134737608,134752705
SDHC,1,161314381,161363206
COL1A1,17,50184101,50201634
EIF2AK2,2,37099210,37157688
SP140,2,230203110,230316577
STRIP1,1,110031577,110074641
SCG2,2,223596940,223602361
TGIF2LX,X,89921908,89922883
SMAD1,4,145480769,145559176
OR7C1,19,14789260,14835376
MECOM,3,169083499,169663775
KRAS,12,25205246,25250936
CDKN1A,6,36676441,36687397
LCN6,9,136744017,136748525
GADD45A,1,67685201,67688334
KRT6A,12,52487176,52493257
PCDHB9,5,141187127,141191541
DLK1,14,100725705,100738224
DXO,6,31969810,31972509
CLHC1,2,55172547,55232563
MYCL,1,39895428,39902256
VPS41,7,38722974,38932394
TAS2R38,7,141972631,141973773
ZFP91,11,58578476,58621550
IKZF1,7,50303412,50405101
SEC14L1,17,77088749,77217101
ZNF385C,17,42025576,42098479
SBF1,22,50443219,50483923
